Index	Master TC	Camera Clip Name	Master TC	Lens Focus Distance	Lens Focal Length
     268	00:35:10:12	A001C025_211130_ROI7	00:35:10:12	1.657	20.952
     269	00:35:10:13	A001C025_211130_ROI7	00:35:10:13	1.655	20.991
     270	00:35:10:14	A001C025_211130_ROI7	00:35:10:14	1.652	21.039
     271	00:35:10:15	A001C025_211130_ROI7	00:35:10:15	1.649	21.107
     272	00:35:10:16	A001C025_211130_ROI7	00:35:10:16	1.645	21.186
     273	00:35:10:17	A001C025_211130_ROI7	00:35:10:17	1.641	21.277
     274	00:35:10:18	A001C025_211130_ROI7	00:35:10:18	1.637	21.379
     275	00:35:10:19	A001C025_211130_ROI7	00:35:10:19	1.632	21.489
     276	00:35:10:20	A001C025_211130_ROI7	00:35:10:20	1.626	21.601
     277	00:35:10:21	A001C025_211130_ROI7	00:35:10:21	1.620	21.702
     278	00:35:10:22	A001C025_211130_ROI7	00:35:10:22	1.613	21.790
     279	00:35:10:23	A001C025_211130_ROI7	00:35:10:23	1.606	21.872
     280	00:35:10:24	A001C025_211130_ROI7	00:35:10:24	1.600	21.942
     281	00:35:11:00	A001C025_211130_ROI7	00:35:11:00	1.593	22.022
     282	00:35:11:01	A001C025_211130_ROI7	00:35:11:01	1.585	22.117
     283	00:35:11:02	A001C025_211130_ROI7	00:35:11:02	1.578	22.221
     284	00:35:11:03	A001C025_211130_ROI7	00:35:11:03	1.570	22.338
     285	00:35:11:04	A001C025_211130_ROI7	00:35:11:04	1.561	22.464
     286	00:35:11:05	A001C025_211130_ROI7	00:35:11:05	1.552	22.571
     287	00:35:11:06	A001C025_211130_ROI7	00:35:11:06	1.542	22.677
     288	00:35:11:07	A001C025_211130_ROI7	00:35:11:07	1.532	22.787
     289	00:35:11:08	A001C025_211130_ROI7	00:35:11:08	1.522	22.904
     290	00:35:11:09	A001C025_211130_ROI7	00:35:11:09	1.512	23.026
     291	00:35:11:10	A001C025_211130_ROI7	00:35:11:10	1.502	23.168
